year,month,RF
1999,10,0.0039
1999,11,0.0036
1999,12,0.0044
2000,1,0.0041
2000,2,0.0043
2000,3,0.0047
2000,4,0.0046
2000,5,0.005
2000,6,0.004
2000,7,0.0048
2000,8,0.005
2000,9,0.0051
2000,10,0.0056
2000,11,0.0051
2000,12,0.005
2001,1,0.0054
2001,2,0.0038
2001,3,0.0042
2001,4,0.0039
2001,5,0.0032
2001,6,0.0028
2001,7,0.003
2001,8,0.0031
2001,9,0.0028
2001,10,0.0022
2001,11,0.0017
2001,12,0.0015
2002,1,0.0014
2002,2,0.0013
2002,3,0.0013
2002,4,0.0015
2002,5,0.0014
2002,6,0.0013
2002,7,0.0015
2002,8,0.0014
2002,9,0.0014
2002,10,0.0014
2002,11,0.0012
2002,12,0.0011
2003,1,0.001
2003,2,0.0009
2003,3,0.001
2003,4,0.001
2003,5,0.0009
2003,6,0.001
2003,7,0.0007
2003,8,0.0007
2003,9,0.0008
2003,10,0.0007
2003,11,0.0007
2003,12,0.0008
2004,1,0.0007
2004,2,0.0006
2004,3,0.0009
2004,4,0.0008
2004,5,0.0006
2004,6,0.0008
2004,7,0.001
2004,8,0.0011
2004,9,0.0011
2004,10,0.0011
2004,11,0.0015
2004,12,0.0016
2005,1,0.0016
2005,2,0.0016
2005,3,0.0021
2005,4,0.0021
2005,5,0.0024
2005,6,0.0023
2005,7,0.0024
2005,8,0.003
2005,9,0.0029
2005,10,0.0027
2005,11,0.0031
2005,12,0.0032
2006,1,0.0035
2006,2,0.0034
2006,3,0.0037
2006,4,0.0036
2006,5,0.0043
2006,6,0.004
2006,7,0.004
2006,8,0.0042
2006,9,0.0041
2006,10,0.0041
2006,11,0.0042
2006,12,0.004
2007,1,0.0044
2007,2,0.0038
2007,3,0.0043
2007,4,0.0044
2007,5,0.0041
2007,6,0.004
2007,7,0.004
2007,8,0.0042
2007,9,0.0032
2007,10,0.0032
2007,11,0.0034
2007,12,0.0027
2008,1,0.0021
2008,2,0.0013
2008,3,0.0017
2008,4,0.0018
2008,5,0.0018
2008,6,0.0017
2008,7,0.0015
2008,8,0.0013
2008,9,0.0015
2008,10,0.0008
2008,11,0.0003
2008,12,0
2009,1,0
2009,2,0.0001
2009,3,0.0002
2009,4,0.0001
2009,5,0
2009,6,0.0001
2009,7,0.0001
2009,8,0.0001
2009,9,0.0001
2009,10,0
2009,11,0
2009,12,0.0001
2010,1,0
2010,2,0
2010,3,0.0001
2010,4,0.0001
2010,5,0.0001
2010,6,0.0001
2010,7,0.0001
2010,8,0.0001
2010,9,0.0001
2010,10,0.0001
2010,11,0.0001
2010,12,0.0001
2011,1,0.0001
2011,2,0.0001
2011,3,0.0001
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.0001
2011,9,0
2011,10,0
2011,11,0
2011,12,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0.0001
2012,6,0
2012,7,0
2012,8,0.0001
2012,9,0.0001
2012,10,0.0001
2012,11,0.0001
2012,12,0.0001
2013,1,0
2013,2,0
2013,3,0
2013,4,0
2013,5,0
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,0
2013,12,0
2014,1,0
2014,2,0
2014,3,0
2014,4,0
2014,5,0
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,0.0001
2016,1,0.0001
2016,2,0.0002
2016,3,0.0002
2016,4,0.0001
2016,5,0.0001
2016,6,0.0002
2016,7,0.0002
2016,8,0.0002
2016,9,0.0002
2016,10,0.0002
2016,11,0.0001
2016,12,0.0003
2017,1,0.0004
2017,2,0.0004
2017,3,0.0003
2017,4,0.0005
2017,5,0.0006
2017,6,0.0006
2017,7,0.0007
2017,8,0.0009
