"","SSA","MAX","PY","COM","CGRS","SSA","MAX","PY","COM","CGRS"
"CAPM",0.708,0.392,0.796,0.571,0.233,0.971,0.804,0.871,0.829,0.704
"FF3",0.792,0.942,0.954,0.971,1,0.9,0.992,1,1,1
"DHS3",0.492,0.229,0.804,0.304,0.792,0.679,0.533,0.812,0.717,0.804
"HXZ4",0.512,0.729,0.5,0.404,0.421,0.771,0.825,0.688,0.642,0.504
"Q5",0.454,0.125,0.362,0.146,0.304,0.679,0.613,0.625,0.471,0.554
"FF5",0.604,0.279,0.317,0.079,0.221,0.775,0.596,0.546,0.596,0.262
"FF6",0.658,0.175,0.479,0.112,0.383,0.821,0.529,0.717,0.662,0.467
"BS6",0.488,0.637,0.529,0.533,0.483,0.671,0.746,0.633,0.613,0.558
"FLWZ8",0.188,0,0.112,0,0.104,0.492,0.158,0.15,0.046,0.15
"CAPM",0.908,0.4,0.9,0.6,0.275,1,0.867,1,0.917,0.85
"FF3",0.858,1,0.908,0.983,1,0.992,1,1,1,1
"DHS3",0.833,0.458,1,0.583,1,0.892,0.925,1,0.992,1
"HXZ4",0.575,1,0.717,0.775,0.717,0.825,1,0.892,1,0.783
"Q5",0.517,0.25,0.325,0.267,0.317,0.758,0.75,0.758,0.65,0.7
"FF5",0.725,0.158,0.5,0,0.442,0.85,0.542,0.733,0.867,0.525
"FF6",0.858,0.025,0.725,0,0.767,0.917,0.458,0.983,0.892,0.9
"BS6",0.575,1,1,1,0.967,0.75,1,1,1,1
"FLWZ8",0.075,0,0,0,0,0.35,0.033,0,0,0
"CAPM",0.508,0.383,0.692,0.542,0.192,0.942,0.742,0.742,0.742,0.558
"FF3",0.725,0.883,1,0.958,1,0.808,0.983,1,1,1
"DHS3",0.15,0,0.608,0.025,0.583,0.467,0.142,0.625,0.442,0.608
"HXZ4",0.45,0.458,0.283,0.033,0.125,0.717,0.65,0.483,0.283,0.225
"Q5",0.392,0,0.4,0.025,0.292,0.6,0.475,0.492,0.292,0.408
"FF5",0.483,0.4,0.133,0.158,0,0.7,0.65,0.358,0.325,0
"FF6",0.458,0.325,0.233,0.225,0,0.725,0.6,0.45,0.433,0.033
"BS6",0.4,0.275,0.058,0.067,0,0.592,0.492,0.267,0.225,0.117
"FLWZ8",0.3,0,0.225,0,0.208,0.633,0.283,0.3,0.092,0.3
