"","SSA","MAX","PY","COM","CGRS","SSA","MAX","PY","COM","CGRS"
"CAPM",0.454,0.121,0.767,0.125,0.417,0.738,0.496,0.85,0.55,0.704
"FF3",0.775,0.671,1,0.838,0.988,0.983,0.992,1,1,1
"DHS3",0.371,0.317,0.754,0.458,0.767,0.617,0.725,0.808,0.804,0.804
"HXZ4",0.317,0.379,0.317,0.262,0.212,0.525,0.588,0.458,0.508,0.296
"Q5",0.433,0.383,0.238,0.292,0.046,0.575,0.546,0.438,0.446,0.196
"FF5",0.4,0.454,0.562,0.529,0.375,0.642,0.7,0.75,0.708,0.512
"FF6",0.488,0.383,0.321,0.325,0.471,0.883,0.562,0.767,0.621,0.575
"BS6",0.362,0.671,0.592,0.571,0.596,0.621,0.863,0.863,0.867,0.742
"FLWZ8",0.354,0.013,0.054,0.008,0.042,0.596,0.158,0.117,0.138,0.133
"CAPM",0.792,0,0.925,0,0.7,0.975,0.175,1,0.392,0.992
"FF3",0.825,1,1,1,1,0.967,1,1,1,1
"DHS3",0.683,0.45,0.975,0.767,1,0.933,1,1,1,1
"HXZ4",0.55,0.758,0.525,0.525,0.408,0.592,0.983,0.717,0.883,0.525
"Q5",0.5,0.567,0.167,0.325,0.058,0.567,0.742,0.483,0.525,0.242
"FF5",0.567,0.908,1,1,0.75,0.675,1,1,1,0.958
"FF6",0.675,0.767,0.642,0.65,0.942,0.967,1,1,1,1
"BS6",0.558,1,1,1,1,0.725,1,1,1,1
"FLWZ8",0.467,0,0,0,0,0.5,0,0,0,0
"CAPM",0.117,0.242,0.608,0.25,0.133,0.5,0.817,0.7,0.708,0.417
"FF3",0.725,0.342,1,0.675,0.975,1,0.983,1,1,1
"DHS3",0.058,0.183,0.533,0.15,0.533,0.3,0.45,0.617,0.608,0.608
"HXZ4",0.083,0,0.108,0,0.017,0.458,0.192,0.2,0.133,0.067
"Q5",0.367,0.2,0.308,0.258,0.033,0.583,0.35,0.392,0.367,0.15
"FF5",0.233,0,0.125,0.058,0,0.608,0.4,0.5,0.417,0.067
"FF6",0.3,0,0,0,0,0.8,0.125,0.533,0.242,0.15
"BS6",0.167,0.342,0.183,0.142,0.192,0.517,0.725,0.725,0.733,0.483
"FLWZ8",0.242,0.025,0.108,0.017,0.083,0.692,0.317,0.233,0.275,0.267
